Gene,Locus Tag,Protein
thrL,STM0001,thr operon leader peptide
thrA,STM0002,aspartokinase I
thrB,STM0003,homoserine kinase
thrC,STM0004,threonine synthase
yaaA,STM0005,putative cytoplasmic protein
yaaJ,STM0006,putative alanine/glycine transport protein
talB,STM0007,transaldolase B
mog,STM0008,putative molybdochetalase
yaaH,STM0009,putative regulatory protein
htgA,STM0010,positive sigma H regulator
yaaI,STM0011,putative periplasmic protein
dnaK,STM0012,chaperone Hsp70
dnaJ,STM0013,heat shock protein DnaJ
,STM0014,putative LysR family transcriptional regulator
,STM0015,putative bacteriophage protein
,STM0016,hypothetical protein
,STM0017,putative protein
,STM0018,putative exochitinase
,STM0019,putative hydroxymethyltransferase
,STM0020,putative cytoplasmic protein
bcfA,STM0021,fimbrial subunit
bcfB,STM0022,fimbrial chaparone
bcfC,STM0023,fimbrial usher
bcfD,STM0024,fimbrial subunit
bcfE,STM0025,fimbrial subunit
bcfF,STM0026,fimbrial subunit
bcfG,STM0027,fimbrial chaparone
bcfH,STM0028,putative thiol-disulfide isomerase
,STM0029,putative transcription regulator
,STM0030,putative LysR family transcriptional regulator
,STM0031,putative transcription regulator
,STM0032,putative arylsulfatase
,STM0033,putative 5'-nucleotidase
,STM0034,putative outer membrane or exported protein
,STM0035,putative arylsulfatase
,STM0036,putative arylsulfatase regulatory protein
,STM0037,putative cytoplasmic protein
,STM0038,putative arylsulfatase
nhaA,STM0039,"NhaA family of transport protein, Na+/H antiporter, pH dependent"
nhaR,STM0040,transcriptional activator of nhaA
,STM0041,putative glycosyl hydrolase
,STM0042,putative sodium galactoside symporter
rpsT,STM0043,30S ribosomal subunit protein S20
yaaY,STM0044,putative cytoplasmic protein
ribF,STM0045,flavokinase and FAD synthetase
ileS,STM0046,isoleucine tRNA synthetase
lspA,STM0047,prolipoprotein signal peptidase (SPase II)
slpA,STM0048,FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)
lytB,STM0049,"regulates the activity of guanosine 3',5'-bispyrophosphate synthetase I (RelA)"
,STM0050,putative nitrite reductase
rihC,STM0051,putative purine nucleoside hydrolase
,STM0052,putative transcription regulator sensor for citrate
,STM0053,putative transcription regulator
,STM0054,"putative oxalacetate decarboxylase, subunit beta"
,STM0055,"putative oxalacetate decarboxylase, subunit alpha"
,STM0056,"putative oxalacetate decarboxylase, subunit gamma"
,STM0057,putative citrate-sodium symport
citC2,STM0058,putative citrate lyase synthetase
citD2,STM0059,"putative citrate lyase acyl carrier protein, gamma chain"
citE2,STM0060,"putative citrate lyase beta chain, acyl lyase subunit"
citF2,STM0061,putative citrate lyase alpha chain
citX2,STM0062,putative cytoplasmic protein
citG2,STM0063,putative modifier of citrate lyase protein
dapB,STM0064,dihydrodipicolinate reductase
,STM0065,putative viral protein
carA,STM0066,"carbamoyl-phosphate synthetase, glutamine-hydrolysing small subunit"
carB,STM0067,"carbamoyl-phosphate synthase, large subunit"
caiF,STM0068,transcriptional regulator of cai and fix operon
caiE,STM0069,stimulates carnitine racemase activity of CaiD and CaiB activity
caiD,STM0070,carnitine racemase
caiC,STM0071,crotonobetaine/carnitine-CoA ligase
caiB,STM0072,l-carnitine dehydratase
caiA,STM0073,"putative acyl-CoA dehydrogenase, carnitine metabolism"
caiT,STM0074,putative BCCT family betaine/carnitine/choline transport protein
fixA,STM0075,"putative flavoprotein reductase, carnitine metabolism"
fixB,STM0076,"putative electron transfer flavoprotein, carnitine metabolism"
fixC,STM0077,related to carnitine metabolism protein
fixX,STM0078,putative ferredoxin
yaaU,STM0079,putative MFS family transport protein
,STM0080,putative outer membrane lipoprotein
,STM0081,putative secreted protein
,STM0082,putative secreted protein
,STM0083,putative inner membrane protein
,STM0084,putative sulfatase
yabF,STM0085,putative NAD(P)H oxidoreductase
kefC,STM0086,"CPA2 family K+ efflux antiporter, glutathione-regulated"
folA,STM0087,dihydrofolate reductase type I
apaH,STM0088,diadenosine tetraphosphatase
apaG,STM0089,putative cytoplasmic protein
ksgA,STM0090,"S-adenosylmethionine-6-N',N'-adenosyl (rRNA) dimethyltransferase; kasugamycin resistance"
pdxA,STM0091,NAD-dependent dehydrogenase/carboxylase
surA,STM0092,peptidyl-prolyl cis-trans isomerase
imp,STM0093,organic solvent tolerance protein
djlA,STM0094,DnaJ like chaperone protein
rluA,STM0095,23S rRNA pseudouridylate 746 synthase
hepA,STM0096,RNA polymerase associated protein
polB,STM0097,DNA polymerase II
,STM0098,putative secreted protein
,STM0099,putative inner membrane protein
