Gene,Locus Tag,Protein
thrL,STM14_0001,thr operon leader peptide
thrA,STM14_0002,bifunctional aspartokinase I/homeserine dehydrogenase I
thrB,STM14_0003,homoserine kinase
thrC,STM14_0004,threonine synthase
yaaA,STM14_0005,hypothetical protein
yaaJ,STM14_0006,putative alanine/glycine transport protein
talB,STM14_0007,transaldolase B
mogA,STM14_0008,molybdenum cofactor biosynthesis protein
yaaH,STM14_0009,hypothetical protein
htgA,STM14_0010,hypothetical protein
yaaI,STM14_0011,hypothetical protein
,STM14_0012,hypothetical protein
dnaK,STM14_0013,molecular chaperone DnaK
dnaJ,STM14_0014,chaperone protein DnaJ
,STM14_0015,hypothetical protein
,STM14_0016,putative transcriptional regulator
,STM14_0017,putative bacteriophage protein
,STM14_0018,hypothetical protein
,STM14_0019,hypothetical protein
,STM14_0020,hypothetical protein
,STM14_0021,hypothetical protein
,STM14_0022,putative exochitinase
,STM14_0023,putative hydroxymethyltransferase
,STM14_0024,hypothetical protein
,STM14_0025,putative cytoplasmic protein
,STM14_0026,hypothetical protein
,STM14_0027,hypothetical protein
bcfA,STM14_0028,fimbrial subunit
bcfB,STM14_0029,fimbrial chaparone
bcfC,STM14_0030,fimbrial usher
bcfD,STM14_0031,fimbrial subunit
bcfE,STM14_0032,fimbrial subunit
bcfF,STM14_0033,fimbrial subunit
bcfG,STM14_0034,fimbrial chaparone
bcfH,STM14_0035,putative thiol-disulfide isomerase
,STM14_0036,hypothetical protein
,STM14_0037,putative transcriptional regulator
,STM14_0038,putative transcriptional regulator
,STM14_0039,putative transcriptional regulator
,STM14_0040,hypothetical protein
,STM14_0041,putative arylsulfatase
,STM14_0042,putative 5'-nucleotidase
,STM14_0043,putative outer membrane/exported protein
,STM14_0044,putative arylsulfatase
,STM14_0045,putative arylsulfatase regulator
,STM14_0046,putative cytoplasmic protein
,STM14_0047,putative arylsulfatase
nhaA,STM14_0048,pH-dependent sodium/proton antiporter
nhaR,STM14_0049,transcriptional activator NhaR
,STM14_0050,putative glycosyl hydrolase
,STM14_0051,putative sodium galactoside symporter
rpsT,STM14_0052,30S ribosomal protein S20
yaaY,STM14_0053,putative cytoplasmic protein
ribF,STM14_0054,bifunctional riboflavin kinase/FMN adenylyltransferase
ileS,STM14_0055,isoleucyl-tRNA synthetase
lspA,STM14_0056,lipoprotein signal peptidase
,STM14_0057,hypothetical protein
slpA,STM14_0058,FKBP-type peptidyl-prolyl cis-trans isomerase
ispH,STM14_0059,4-hydroxy-3-methylbut-2-enyl diphosphate reductase
,STM14_0060,putative nitrite reductase
rihC,STM14_0061,ribonucleoside hydrolase RihC
,STM14_0062,putative transcriptional regulator
,STM14_0063,putative transcriptional regulator
,STM14_0064,putative oxalacetate decarboxylase subunit beta
,STM14_0065,pyruvate carboxylase subunit B
,STM14_0066,oxaloacetate decarboxylase subunit gamma
,STM14_0067,putative citrate-sodium symporter
,STM14_0068,hypothetical protein
citC2,STM14_0069,putative citrate lyase synthetase
citD2,STM14_0070,citrate lyase subunit gamma
citE2,STM14_0071,putative citrate lyase beta chain
citF2,STM14_0072,putative citrate lyase alpha chain/citrate-ACP transferase
citX2,STM14_0073,putative cytoplasmic protein
citG2,STM14_0074,triphosphoribosyl-dephospho-CoA synthase
dapB,STM14_0075,dihydrodipicolinate reductase
,STM14_0076,hypothetical protein
carA,STM14_0077,carbamoyl phosphate synthase small subunit
carB,STM14_0078,carbamoyl phosphate synthase large subunit
,STM14_0079,hypothetical protein
tnpA_1,STM14_0080,transposase
caiF,STM14_0081,DNA-binding transcriptional activator CaiF
caiE,STM14_0082,carnitine operon protein CaiE
caiD,STM14_0083,carnitinyl-CoA dehydratase
caiC,STM14_0084,putative crotonobetaine/carnitine-CoA ligase
caiB,STM14_0085,crotonobetainyl-CoA:carnitine CoA-transferase
,STM14_0086,hypothetical protein
caiA,STM14_0087,crotonobetainyl-CoA dehydrogenase
caiT,STM14_0088,L-carnitine/gamma-butyrobetaine antiporter
,STM14_0089,conserved hypothetical protein
fixA,STM14_0090,putative electron transfer flavoprotein FixA
fixB,STM14_0091,putative electron transfer flavoprotein FixB
fixC,STM14_0092,putative oxidoreductase FixC
fixX,STM14_0093,putative ferredoxin
yaaU,STM14_0094,putative transport protein
,STM14_0095,putative outer membrane lipoprotein
,STM14_0096,putative secreted protein
,STM14_0097,hypothetical protein
,STM14_0098,putative secreted protein
,STM14_0099,putative inner membrane protein
,STM14_0100,putative sulfatase
,STM14_0101,hypothetical protein
,STM14_0102,hypothetical protein
yabF,STM14_0103,glutathione-regulated potassium-efflux system ancillary protein KefF
kefC,STM14_0104,glutathione-regulated potassium-efflux system protein KefC
,STM14_0105,hypothetical protein
folA,STM14_0106,dihydrofolate reductase
apaH,STM14_0107,diadenosine tetraphosphatase
apaG,STM14_0108,ApaG
ksgA,STM14_0109,dimethyladenosine transferase
pdxA_1,STM14_0110,4-hydroxythreonine-4-phosphate dehydrogenase
surA,STM14_0111,peptidyl-prolyl cis-trans isomerase SurA
imp,STM14_0112,organic solvent tolerance protein
,STM14_0113,hypothetical protein
djlA,STM14_0114,DNA-J like membrane chaperone protein
rluA,STM14_0115,23S rRNA/tRNA pseudouridine synthase A
hepA,STM14_0116,ATP-dependent helicase HepA
polB,STM14_0117,DNA polymerase II
,STM14_0118,putative secreted protein
,STM14_0119,putative cytoplasmic protein
araD,STM14_0120,L-ribulose-5-phosphate 4-epimerase
